sampleID,doy,siteID,division,taxon,biomass
G19041206451,206,4,Cyanophyta,Snowella,0.44
G19041213451,213,4,Chrysophyta,Mallomonas,1.58002367
G19041213451,213,4,Cyanophyta,Aphanothece,9.769094139
G19041213451,213,4,Cyanophyta,Merismopedia,0.003366528
G19041213451,213,4,Cyanophyta,Microcystis,315.8591298
G19041213451,213,4,Cyanophyta,Snowella,1.718579244
G19041220451,220,4,Chlorophyta,Desmodesmus,0.03
G19041220451,220,4,Chlorophyta,Oocystis,0.08
G19041220451,220,4,Cyanophyta,Aphanocapsa,0.3
G19041220451,220,4,Cyanophyta,Aphanothece,38.46
G19041220451,220,4,Cyanophyta,Merismopedia,0.02
G19041220451,220,4,Cyanophyta,Microcystis,11.96
G19041220451,220,4,Cyanophyta,Snowella,1.87
G19041227451,227,4,Chlorophyta,Chlamydomonas,0.03
G19041227451,227,4,Cryptophyta,Cryptomonas,0.08
G19041227451,227,4,Cryptophyta,Komma,0.04
G19041227451,227,4,Cyanophyta,Aphanothece,0.17
G19041227451,227,4,Cyanophyta,Merismopedia,0.01
G19041227451,227,4,Cyanophyta,Microcystis,4.13
G19041227451,227,4,Cyanophyta,Planktolyngbya,0.27
G19041227451,227,4,Cyanophyta,Pseudanabaena,0
G19041227451,227,4,Cyanophyta,Snowella,0.05
G19041245451,245,4,Chlorophyta,Chlamydomonas,0.07
G19041245451,245,4,Chlorophyta,Schroederia,0.03
G19041245451,245,4,Cyanophyta,Aphanocapsa,0.96
G19041245451,245,4,Cyanophyta,Merismopedia,0
G19041245451,245,4,Cyanophyta,Microcystis,17.35
G19041245451,245,4,Cyanophyta,Pseudanabaena,0.09
G19041245451,245,4,Cyanophyta,Snowella,0.39
G19041245451,245,4,Euglenophyta,Euglena,0.08
G19041251451,251,4,Bacillariophyta,Stephanodiscus,4.05
G19041251451,251,4,Chlorophyta,Chlamydomonas,0.01
G19041251451,251,4,Cyanophyta,Aphanocapsa,0.75
G19041251451,251,4,Cyanophyta,Merismopedia,0
G19041251451,251,4,Cyanophyta,Microcystis,12.08
G19041251451,251,4,Cyanophyta,Pseudanabaena,0.03
G19041251451,251,4,Cyanophyta,Snowella,0.18
